row_id,property_owner,contractor,professional_permit_processor,overall_experience_obtaining_a_permit,use_permit,demo_permit,construction_permit_building_inspection,construction_permit_construction,construction_permit_encroachment_plan_fire,construction_permit_encroachment_plan_planning,construction_permit_permit_extensions,construction_permit_demolition,construction_permit_electrical,construction_permit_gas_hvac,approximately_how_many_permits_do_you_apply_for,was_your_permit_approved,approximately_how_long_did_it_take_from_the_time_you_applied_for_your_permit_to_receiving_an_approval_or_denial,did_someone_assist_you_with_the_permit_application_process,if_yes_in_which_manner_did_your_receive_assistance_check_all_that_apply,how_would_you_rate_your_overall_experience_obtaining_a_permit_from_the_city_of_baltimore,were_you_aware_that_dhcd_provides_online_tutorials_and_training_session_on_the_permitting_process,have_you_ever_utilized_an_of_the_online_tutorials_available_on_the_dhcd_website_to_assist_in_obtaining_your_permit,easy_or_hard_was_it_to_find_the_information_you_need_on_the_application_portal,how_easy_was_it_to_find_the_information_you_need_on_the_application_portal,challenge_poor_communication_response_time,challenge_conflicting_info,challenge_rude_difficult_staff,positive_negative_opinion_of_portal,improve_customer_service,improve_need_brand_new_process
11,FALSE,FALSE,TRUE,very difficult,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,No,Greater than 60 days,NA,Message Board,Very Difficult,no,no,easy,,TRUE,FALSE,FALSE,NA,FALSE,FALSE
12,FALSE,TRUE,TRUE,somewhat difficult,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,6 and above per year,Yes,Less than 15 days,NA,Message Board,Somewhat difficult,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
13,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2 - 5 per year,Yes,Less than 15 days,NA,NA,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
14,TRUE,FALSE,FALSE,very easy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,Less than 15 days,NA,Walk-In In-Person,Very Easy,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,FALSE
15,FALSE,TRUE,FALSE,easy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,Less than 15 days,NA,Phone,Easy,no,no,hard,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
16,FALSE,FALSE,TRUE,somewhat difficult,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2 - 5 per year,Yes,45 - 60 days,NA,Phone,Somewhat difficult,yes,yes,easy,,TRUE,FALSE,FALSE,positive,FALSE,TRUE
17,FALSE,FALSE,TRUE,very difficult,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,No,Greater than 60 days,NA,Our licensing team was able to reach the AHJ by phone after several weeks of calling and emailing.,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
18,TRUE,FALSE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,15 - 30 days,NA,Walk-In In-Person,Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,TRUE
19,TRUE,TRUE,FALSE,difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,NA,Somewhat difficult,no,no,hard,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
20,FALSE,TRUE,FALSE,easy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6 and above per year,Yes,Less than 15 days,NA,NA,Easy,no,no,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
21,TRUE,FALSE,FALSE,somewhat difficult,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6 and above per year,Yes,15 - 30 days,NA,Phone,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,positive,FALSE,TRUE
22,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6 and above per year,Yes,Greater than 60 days,NA,Phone,Very Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,TRUE,TRUE
23,FALSE,FALSE,TRUE,very difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,Phone,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,NA,FALSE,FALSE
24,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,6 and above per year,Yes,Greater than 60 days,NA,Walk-In In-Person,Very Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
25,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,Message Board,Very Difficult,yes,yes,NA,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
26,TRUE,FALSE,FALSE,difficult,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6 and above per year,Yes,15 - 30 days,NA,NA,Difficult,no,no,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
27,FALSE,TRUE,FALSE,difficult,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6 and above per year,Yes,Less than 15 days,NA,Message Board,Somewhat difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,TRUE,FALSE
28,FALSE,FALSE,TRUE,very easy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6 and above per year,Yes,Less than 15 days,NA,NA,Very Easy,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,FALSE
29,FALSE,TRUE,FALSE,very difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,30 - 45 days,NA,Email,Very Difficult,yes,no,easy,,FALSE,FALSE,FALSE,negative,TRUE,TRUE
30,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,Greater than 60 days,NA,NA,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,TRUE,FALSE
31,TRUE,FALSE,FALSE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,Less than 15 days,NA,NA,Very Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
32,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,45 - 60 days,NA,Phone,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
33,FALSE,TRUE,FALSE,very difficult,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,Greater than 60 days,NA,Email,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
34,FALSE,TRUE,FALSE,somewhat difficult,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5 per year,Yes,Less than 15 days,NA,Email,Somewhat difficult,yes,no,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
35,TRUE,TRUE,TRUE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,Greater than 60 days,NA,Message Board,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,FALSE,FALSE
36,FALSE,TRUE,TRUE,easy,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,Less than 15 days,NA,Message Board,Very Easy,no,no,easy,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
37,FALSE,TRUE,FALSE,difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2 - 5 per year,Yes,Less than 15 days,NA,NA,Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,TRUE
38,FALSE,FALSE,TRUE,somewhat difficult,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6 and above per year,Yes,Greater than 60 days,NA,Message Board,Difficult,yes,no,hard,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
39,FALSE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,Less than 15 days,NA,NA,Somewhat difficult,yes,no,easy,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
40,TRUE,FALSE,FALSE,difficult,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1 per year,Yes,15 - 30 days,NA,Walk-In In-Person,Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,NA,FALSE,TRUE
41,TRUE,FALSE,FALSE,very easy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,45 - 60 days,NA,Message Board,Very Easy,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,FALSE
42,FALSE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,Phone,Easy,no,no,NA,,FALSE,FALSE,FALSE,positive,FALSE,FALSE
43,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6 and above per year,Yes,Greater than 60 days,NA,Message Board,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
44,FALSE,TRUE,FALSE,very difficult,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,5 per year,Yes,45 - 60 days,NA,Email,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,negative,TRUE,TRUE
45,FALSE,FALSE,TRUE,somewhat difficult,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,45 - 60 days,NA,NA,Somewhat difficult,no,no,easy,,FALSE,FALSE,FALSE,negative,TRUE,FALSE
46,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2 - 5 per year,No,Greater than 60 days,NA,NA,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,FALSE,FALSE
47,TRUE,FALSE,FALSE,very difficult,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,No,Greater than 60 days,NA,Email,Difficult,no,no,hard,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
48,FALSE,FALSE,TRUE,very difficult,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,NA,Greater than 60 days,NA,Email,Very Difficult,yes,no,both,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
49,FALSE,FALSE,TRUE,easy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,NA,Easy,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,FALSE
50,FALSE,FALSE,TRUE,somewhat difficult,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,Email,Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
51,FALSE,TRUE,FALSE,somewhat difficult,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,NA,Somewhat difficult,no,no,easy,,TRUE,FALSE,TRUE,positive,FALSE,TRUE
52,FALSE,TRUE,FALSE,difficult,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,45 - 60 days,NA,NA,Difficult,yes,no,hard,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
53,FALSE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,6 and above per year,Yes,Greater than 60 days,NA,NA,Somewhat difficult,no,no,both,,FALSE,FALSE,FALSE,positive,TRUE,FALSE
54,FALSE,TRUE,FALSE,difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,6 and above per year,Yes,Greater than 60 days,NA,Phone,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
55,FALSE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,30 - 45 days,no,Message Board,Somewhat difficult,yes,yes,easy,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
56,FALSE,FALSE,TRUE,somewhat difficult,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,30 - 45 days,NA,Message Board,Somewhat difficult,yes,yes,easy,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
57,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,No,Less than 15 days,NA,Walk-In In-Person,Very Difficult,yes,no,both,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
58,FALSE,TRUE,FALSE,somewhat difficult,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,Message Board,Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,TRUE,TRUE
59,FALSE,FALSE,TRUE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,30 - 45 days,NA,Phone,Somewhat difficult,yes,no,easy,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
60,FALSE,TRUE,FALSE,difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6 and above per year,Yes,Less than 15 days,NA,Message Board,Difficult,no,no,both,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
61,TRUE,FALSE,FALSE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1 per year,No,Greater than 60 days,NA,Phone,Very Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
62,FALSE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,no,Email,Somewhat difficult,yes,yes,easy,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
63,FALSE,FALSE,TRUE,somewhat difficult,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2 - 5 per year,Yes,45 - 60 days,NA,NA,Somewhat difficult,no,no,both,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
64,FALSE,TRUE,FALSE,easy,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5 per year,Yes,15 - 30 days,NA,Email,Easy,yes,yes,easy,,TRUE,FALSE,FALSE,positive,TRUE,TRUE
65,FALSE,TRUE,FALSE,easy,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,15 - 30 days,NA,NA,Somewhat difficult,no,no,both,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
66,FALSE,TRUE,FALSE,easy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2 - 5 per year,Yes,Greater than 60 days,no,"Phone, emails, and message board",Somewhat difficult,yes,no,both,,FALSE,FALSE,FALSE,NA,FALSE,TRUE
67,TRUE,FALSE,FALSE,easy,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 - 5 per year,Yes,15 - 30 days,NA,NA,Difficult,no,no,easy,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
68,TRUE,FALSE,FALSE,somewhat difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,30 - 45 days,NA,Online,Somewhat difficult,yes,yes,easy,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
69,TRUE,FALSE,FALSE,very difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1 per year,No,Greater than 60 days,NA,NA,Very Difficult,yes,yes,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
70,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 per year,No,Less than 15 days,NA,Email,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,TRUE,FALSE
71,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1 per year,Yes,Greater than 60 days,NA,Walk-In In-Person,Very Difficult,yes,yes,NA,,FALSE,FALSE,FALSE,negative,TRUE,TRUE
72,TRUE,TRUE,FALSE,difficult,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,1 per year,Yes,Greater than 60 days,NA,Email,Difficult,yes,no,easy,,TRUE,FALSE,FALSE,negative,TRUE,TRUE
73,TRUE,TRUE,FALSE,easy,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6 and above per year,Yes,15 - 30 days,NA,Walk-In In-Person,Somewhat difficult,yes,no,easy,,TRUE,FALSE,FALSE,positive,TRUE,FALSE
74,FALSE,TRUE,FALSE,somewhat difficult,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,45 - 60 days,NA,Phone,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,TRUE,FALSE
75,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6 and above per year,Yes,Less than 15 days,NA,NA,Difficult,no,no,easy,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
76,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,NA,Very Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
77,TRUE,FALSE,FALSE,somewhat difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,15 - 30 days,NA,NA,Somewhat difficult,no,no,easy,,TRUE,FALSE,FALSE,positive,FALSE,TRUE
78,TRUE,TRUE,FALSE,somewhat difficult,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,6 and above per year,Yes,Less than 15 days,no,Email,Somewhat difficult,yes,no,easy,,TRUE,FALSE,FALSE,positive,FALSE,TRUE
79,TRUE,FALSE,FALSE,very difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1 per year,Yes,15 - 30 days,NA,NA,Very Difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
80,TRUE,FALSE,FALSE,very difficult,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,Walk-In In-Person,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,negative,FALSE,TRUE
81,TRUE,FALSE,FALSE,easy,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2 - 5 per year,Yes,45 - 60 days,NA,Email,Easy,yes,no,both,,FALSE,FALSE,FALSE,positive,FALSE,TRUE
82,TRUE,TRUE,FALSE,difficult,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6 and above per year,Yes,Less than 15 days,no,Message Board,Somewhat difficult,no,no,easy,,TRUE,FALSE,FALSE,NA,FALSE,FALSE
83,TRUE,FALSE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,45 - 60 days,NA,Walk-In In-Person,Difficult,no,no,hard,,FALSE,FALSE,FALSE,negative,FALSE,TRUE
84,FALSE,TRUE,FALSE,easy,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,45 - 60 days,NA,Phone,Easy,no,no,both,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
85,TRUE,FALSE,FALSE,very difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,NA,Greater than 60 days,no,I have received the run around over and over when inquiries are made in black and brown communities.,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
86,FALSE,TRUE,FALSE,very difficult,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2 - 5 per year,Yes,Greater than 60 days,NA,NA,Very Difficult,no,no,hard,,TRUE,FALSE,FALSE,negative,TRUE,FALSE
87,FALSE,TRUE,FALSE,difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2 - 5 per year,No,Greater than 60 days,NA,Nobody telling me how to solve the problem,Difficult,yes,yes,hard,,TRUE,FALSE,FALSE,NA,TRUE,TRUE
88,TRUE,TRUE,FALSE,difficult,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,Yes,15 - 30 days,NA,Walk-In In-Person,Difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
89,TRUE,TRUE,FALSE,somewhat difficult,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1 per year,NA,30 - 45 days,NA,NA,Somewhat difficult,no,no,hard,,FALSE,FALSE,FALSE,NA,FALSE,FALSE
90,TRUE,FALSE,FALSE,difficult,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6 and above per year,Yes,Greater than 60 days,NA,Scheduled In-Person Meeting,Difficult,yes,no,hard,,FALSE,FALSE,TRUE,negative,TRUE,FALSE
